date,item_name,price,price_per_unit,store,ppu_unit,alt_name,category
2025-04-03,"Carrots, 2 lb",1.45,0.725,Aldi,lb,Carrots,Fresh Produce
2025-04-03,"Classic Roast Medium Ground Coffee, 30.5 oz",8.69,0.285,Aldi,oz,Coffee,Beverages
2025-04-03,"Fajita Flour Tortillas, 20 count",1.75,0.076,Aldi,oz,Tortillas,Grains
2025-04-03,"Flat Leaf Spinach, 8 oz",1.75,0.219,Aldi,oz,Spinach,Fresh Produce
2025-04-03,"Fresh Broccoli Crowns, Each",1.83,1.97,Walmart,lb,Broccoli,Fresh Produce
2025-04-03,"Fresh Cilantro, Bunch",0.83,0.208,Walmart,oz,Cilantro,Fresh Produce
2025-04-03,"Fresh Color Bell Peppers, 3 Count",2.96,0.987,Walmart,count,Bell Peppers,Fresh Produce
2025-04-03,"Fresh Hass Avocados, Each",0.78,N/A,Walmart,N/A,Avocados,Fresh Produce
2025-04-03,"Fresh Lemon, Each",0.58,N/A,Walmart,N/A,Lemon,Fresh Produce
2025-04-03,"Fresh Lime, Each",0.25,N/A,Walmart,N/A,Lime,Fresh Produce
2025-04-03,"Fresh Slicing Tomato, Each",1.43,1.98,Walmart,lb,Tomatoes,Fresh Produce
2025-04-03,"Fresh Strawberries, 1 lb Container",3.28,0.205,Walmart,oz,Strawberries,Fresh Produce
2025-04-03,"Garlic Bulb Fresh Whole, Each",0.64,N/A,Walmart,N/A,Garlic,Fresh Produce
2025-04-03,"Great Value 100% Apple Juice, 96 fl oz",3.08,0.032,Walmart,fl oz,Apple Juice,Beverages
2025-04-03,"Great Value All Natural Boneless Skinless Chicken Breasts, 3 lb (Frozen)",9.48,3.16,Walmart,lb,Chicken,Meat/Protein
2025-04-03,"Great Value Creamy Peanut Butter, 16 oz",1.94,0.121,Walmart,oz,Peanut Butter,Sauces/Canned Goods
2025-04-03,"Great Value Garlic Powder, 3.4 oz",1.16,0.341,Walmart,oz,Garlic Powder,Condiments/Spices
2025-04-03,"Great Value Medium Soft Taco Flour Tortillas, 16 oz, 10 Count",1.98,0.124,Walmart,oz,Tortillas,Grains
2025-04-03,"Great Value Mozzarella String Cheese Sticks, 12 oz Bag, 12 Count (Refrigerated)",3.34,0.278,Walmart,oz,String Cheese,Dairy
2025-04-03,"Great Value Pure Granulated Sugar, 4 lb",3.14,0.049,Walmart,oz,Granulated Sugar,Baking Goods
2025-04-03,"Great Value Saltine Crackers, 16 oz, 4 Count",1.74,0.109,Walmart,oz,Crackers,Snacks
2025-04-03,"Great Value Tomato Ketchup, 32 oz",1.94,0.061,Walmart,oz,Ketchup,Condiments/Spices
2025-04-03,"Great Value White Sandwich Bread, 20 oz",1.42,0.071,Walmart,oz,Sandwich Bread,Grains
2025-04-03,"Great Value, Large White Eggs, 12 Count",4.97,0.414,Walmart,count,Eggs,Meat/Protein
2025-04-03,"Italian Bread Loaf, 16 oz",4.39,0.274,Aldi,oz,Sandwich Bread,Grains
2025-04-03,"Marketside Fresh Spinach, 10 oz Bag, Fresh",1.98,0.198,Walmart,oz,Spinach,Fresh Produce
2025-04-03,"Organic Garlic Powder, 2.5 oz",2.05,0.82,Aldi,oz,Garlic Powder,Condiments/Spices
2025-04-03,"Organic Ground Cumin, 1.5 oz",2.05,1.367,Aldi,oz,Cumin,Condiments/Spices
2025-04-03,"Quick Oats, 42 oz",4.19,0.1,Aldi,oz,Quick Oats,Snacks
2025-04-03,"Restaurant Style Tortilla Chips, 13 oz",2.09,0.161,Aldi,oz,Tortilla Chips,Snacks
2025-04-03,"Saltine Crackers, 16 oz",1.85,0.116,Aldi,oz,Crackers,Snacks
2025-04-03,"USDA Organic Black Beans, 15 oz Can",1.09,0.073,Aldi,oz,Black Beans,Sauces/Canned Goods
