date,item_name,price,price_per_unit,store,ppu_unit,alt_name,category
2025-03-13,"2% Milk, 1 gal",3.35,3.35,Aldi,gal,Milk,Dairy
2025-03-13,"Active Dry Yeast Packets, 3 count",1.09,1.453,Aldi,oz,Dry Yeast,Baking Goods
2025-03-13,"All Purpose Flour, 5 lb",2.55,0.51,Aldi,lb,Flour,Baking Goods
2025-03-13,Avocado,1.79,1.79,Wegmans,each,Avocados,Fresh Produce
2025-03-13,"Baking Potatoes, 5 lb",3.95,N/A,Aldi,N/A,Potatoes,Fresh Produce
2025-03-13,"Baking Powder, 8.1 oz",2.15,0.265,Aldi,oz,Baking Powder,Baking Goods
2025-03-13,"Baking Soda, 16 oz",0.99,0.062,Aldi,oz,Baking Soda,Baking Goods
2025-03-13,"Balsamic Vinegar of Modena, 16.9 fl oz",2.75,0.163,Aldi,oz,Balsamic Vinegar,Oils/Vinegars
2025-03-13,"Bananas, Sold by the Each",0.19,0.49,Wegmans,lb,Bananas,Fresh Produce
2025-03-13,"Bananas, per lb",0.16,0.485,Aldi,lb,Bananas,Fresh Produce
2025-03-13,"Black Tea Bags, 100 Count",1.99,0.02,Aldi,ct,Tea Bags,Beverages
2025-03-13,"Canned Whole Kernel Golden Sweet Corn, 15.25 oz",0.75,0.049,Aldi,oz,Green Chiles,Sauces/Canned Goods
2025-03-13,"Carrots, 2 lb",1.09,0.545,Aldi,lb,Carrots,Fresh Produce
2025-03-13,"Chicken Broth, 32 oz",1.25,0.039,Aldi,oz,Chicken Stock,Sauces/Canned Goods
2025-03-13,"Chili Powder, 2.5 oz",0.89,0.356,Aldi,oz,Chili Powder,Condiments/Spices
2025-03-13,"Chopped Green Chiles, 4 oz Can",0.95,0.237,Aldi,oz,Green Chiles,Sauces/Canned Goods
2025-03-13,"Chunk Light Tuna in Water, 5 oz Can",1.25,0.25,Aldi,oz,Tuna,Sauces/Canned Goods
2025-03-13,"Cinnamon Crunch Squares, 19.3 oz",3.09,0.16,Aldi,oz,Cereal,Snacks
2025-03-13,"Classic Roast Medium Ground Coffee, 30.5 oz",8.69,0.285,Aldi,oz,Coffee,Beverages
2025-03-13,"Concord Grape Jelly, 30 oz",2.85,0.095,Aldi,oz,Jelly,Sauces/Canned Goods
2025-03-13,"Condensed Tomato Soup, 10.75 oz Can",1.39,0.129,Aldi,oz,Soups,Sauces/Canned Goods
2025-03-13,"Creamy Alfredo Sauce, 15 oz",1.85,0.123,Aldi,oz,Alfredo Sauce,Sauces/Canned Goods
2025-03-13,"Creamy Peanut Butter, 18 oz",2.05,0.114,Aldi,oz,Peanut Butter,Sauces/Canned Goods
2025-03-13,"Crushed Red Pepper, 1.5 oz",0.89,0.593,Aldi,oz,Red Pepper,Condiments/Spices
2025-03-13,"Deli Sliced Provolone Cheese, 8 oz",1.99,0.249,Aldi,oz,Sliced Cheese,Dairy
2025-03-13,"Deluxe Mixed Nuts with Sea Salt, 30 oz",13.19,N/A,Aldi,N/A,Nuts,Snacks
2025-03-13,"Fajita Flour Tortillas, 20 count",1.75,0.076,Aldi,oz,Tortillas,Grains
2025-03-13,"Flat Leaf Spinach, 8 oz",1.75,0.219,Aldi,oz,Spinach,Fresh Produce
2025-03-13,Fresh 93% Lean 7% Fat Ground Beef,6.69,6.69,Aldi,lb,Beef,Meat/Protein
2025-03-13,Fresh Chicken Breasts,6.11,3.491,Aldi,lb,Chicken,Meat/Protein
