date,item_name,price,price_per_unit,store,ppu_unit,alt_name,category
2024-12-02,"2% Milk, 1 gal",3.45,3.45,Aldi,gal,Milk,Dairy
2024-12-02,"Active Dry Yeast Packets, 3 count",1.09,1.453,Aldi,oz,Dry Yeast,Baking Goods
2024-12-02,"All Purpose Flour, 5 lb",1.99,0.398,Aldi,lb,Flour,Baking Goods
2024-12-02,"Avocados, each",0.89,0.89,Aldi,each,Avocados,Fresh Produce
2024-12-02,"Baking Potatoes, 5 lb",4.39,0.878,Aldi,lb,Potatoes,Fresh Produce
2024-12-02,"Baking Powder, 8.1 oz",2.15,0.265,Aldi,oz,Baking Powder,Baking Goods
2024-12-02,"Baking Soda, 16 oz",0.99,0.062,Aldi,oz,Baking Soda,Baking Goods
2024-12-02,"Balsamic Vinegar of Modena, 16.9 fl oz",2.75,0.163,Aldi,fl oz,Balsamic Vinegar,Oils/Vinegars
2024-12-02,"Bananas, per lb",0.16,0.485,Aldi,lb,Bananas,Fresh Produce
2024-12-02,Broccoli Crowns,1.95,1.95,Aldi,lb,Broccoli,Fresh Produce
2024-12-02,"Canned Whole Kernel Golden Sweet Corn, 15.25 oz",0.55,0.036,Aldi,oz,Green Chiles,Sauces/Canned Goods
2024-12-02,"Carrots, 2 lb",1.55,0.775,Aldi,lb,Carrots,Fresh Produce
2024-12-02,"Chicken Broth, 32 oz",1.29,0.04,Aldi,oz,Chicken Stock,Sauces/Canned Goods
2024-12-02,"Chili Powder, 2.5 oz",0.89,0.356,Aldi,oz,Chili Powder,Condiments/Spices
2024-12-02,"Chopped Green Chiles, 4 oz Can",0.89,0.223,Aldi,oz,Green Chiles,Sauces/Canned Goods
2024-12-02,"Chunk Light Tuna in Water, 5 oz Can",1.25,0.25,Aldi,oz,Tuna,Sauces/Canned Goods
2024-12-02,Cilantro Bunch,0.75,0.75,Aldi,each,Cilantro,Fresh Produce
2024-12-02,"Cinnamon Crunch Squares, 19.3 oz",3.09,0.16,Aldi,oz,Cereal,Snacks
2024-12-02,"Classic Roast Medium Ground Coffee, 30.5 oz",8.25,0.27,Aldi,oz,Coffee,Beverages
2024-12-02,"Concord Grape Jelly, 30 oz",2.85,0.095,Aldi,oz,Jelly,Sauces/Canned Goods
2024-12-02,"Condensed Tomato Soup, 10.75 oz Can",1.39,0.129,Aldi,oz,Soups,Sauces/Canned Goods
2024-12-02,"Creamy Alfredo Sauce, 15 oz",1.85,0.123,Aldi,oz,Alfredo Sauce,Sauces/Canned Goods
2024-12-02,"Creamy Peanut Butter, 18 oz",2.09,0.116,Aldi,oz,Peanut Butter,Sauces/Canned Goods
2024-12-02,"Crushed Red Pepper, 1.5 oz",0.89,0.593,Aldi,oz,Red Pepper,Condiments/Spices
2024-12-02,"Deli Sliced Provolone Cheese, 8 oz",2.09,0.261,Aldi,oz,Sliced Cheese,Dairy
2024-12-02,"Deluxe Mixed Nuts with Sea Salt, 30 oz",13.19,0.44,Aldi,oz,Nuts,Snacks
2024-12-02,"Fajita Flour Tortillas, 20 count",1.75,0.076,Aldi,oz,Tortillas,Grains
2024-12-02,"Flat Leaf Spinach, 8 oz",1.65,0.206,Aldi,oz,Spinach,Fresh Produce
2024-12-02,Fresh 93% Lean 7% Fat Ground Beef,6.39,6.39,Aldi,lb,Beef,Meat/Protein
2024-12-02,"Fresh Broccoli Crowns, Each",2.27,2.44,Walmart,lb,Broccoli,Fresh Produce
2024-12-02,Fresh Chicken Breasts,6.11,3.491,Aldi,lb,Chicken,Meat/Protein
2024-12-02,"Fresh Cilantro, Bunch",0.68,0.17,Walmart,oz,Cilantro,Fresh Produce
2024-12-02,"Fresh Color Bell Peppers, 3 Count",2.97,0.99,Walmart,count,Bell Peppers,Fresh Produce
2024-12-02,"Fresh Hass Avocados, Each",1.08,N/A,Walmart,N/A,Avocados,Fresh Produce
2024-12-02,"Fresh Lemon, Each",0.68,N/A,Walmart,N/A,Lemon,Fresh Produce
2024-12-02,"Fresh Lime, Each",0.25,N/A,Walmart,N/A,Lime,Fresh Produce
2024-12-02,"Fresh Strawberries, 1 lb Container",4.34,0.271,Walmart,oz,Strawberries,Fresh Produce
2024-12-02,"Frozen Berry Medley, 32 oz",7.69,0.24,Aldi,oz,Frozen Fruit and Berries,Frozen Goods
2024-12-02,"Garlic, 3 pack",1.45,0.483,Aldi,ct,Garlic,Fresh Produce
2024-12-02,"Grade A Large White Eggs, 1 dozen",4.39,0.366,Aldi,ct,Eggs,Meat/Protein
2024-12-02,"Graham Cracker Pie Crust, 6 oz",1.39,0.232,Aldi,oz,Pie Crust,Frozen Goods
2024-12-02,"Granulated Sugar, 4 lb",2.95,0.738,Aldi,lb,Granulated Sugar,Baking Goods
2024-12-02,"Great Value Alfredo Pasta Sauce, 16 Oz",1.82,0.114,Walmart,oz,Alfredo Sauce,Sauces/Canned Goods
2024-12-02,"Great Value Golden Sweet Whole Kernel Corn, Canned Corn, 15 oz Can",0.64,N/A,Walmart,N/A,Green Chiles,Sauces/Canned Goods
