date,item_name,price,price_per_unit,store,ppu_unit,alt_name,category
2024-08-16,"100% Apple Juice, 64 fl oz",2.09,0.033,Aldi,fl oz,Apple Juice,Beverages
2024-08-16,"2% Milk, 1 gal",2.85,2.85,Aldi,gal,Milk,Dairy
2024-08-16,"Active Dry Yeast Packets, 3 count",0.99,1.32,Aldi,oz,Dry Yeast,Baking Goods
2024-08-16,"All Purpose Flour, 5 lb",2.59,0.518,Aldi,lb,Flour,Baking Goods
2024-08-16,Avocado,1.5,1.5,Wegmans,each,Avocados,Fresh Produce
2024-08-16,"Avocados, each",0.95,0.95,Aldi,each,Avocados,Fresh Produce
2024-08-16,"Baking Potatoes, 5 lb",3.65,N/A,Aldi,N/A,Potatoes,Fresh Produce
2024-08-16,"Baking Powder, 8.1 oz",2.09,0.258,Aldi,oz,Baking Powder,Baking Goods
2024-08-16,"Baking Soda, 16 oz",0.99,0.062,Aldi,oz,Baking Soda,Baking Goods
2024-08-16,"Balsamic Vinegar of Modena, 16.9 fl oz",2.99,0.177,Aldi,oz,Balsamic Vinegar,Oils/Vinegars
2024-08-16,"Bananas, Sold by the Each",0.21,0.49,Wegmans,lb,Bananas,Fresh Produce
2024-08-16,"Bananas, per lb",0.16,0.485,Aldi,lb,Bananas,Fresh Produce
2024-08-16,"Basil, 0.75 oz",1.95,2.6,Aldi,oz,Basil,Fresh Produce
2024-08-16,Beefsteak Tomatoes,1.92,2.49,Wegmans,lb,Tomatoes,Fresh Produce
2024-08-16,"Black Tea Bags, 100 Count",2.19,0.022,Aldi,ct,Tea Bags,Beverages
2024-08-16,Broccoli Crowns,1.98,1.99,Wegmans,lb,Broccoli,Fresh Produce
2024-08-16,Bulk Garlic,0.72,4.49,Wegmans,lb,Garlic,Fresh Produce
2024-08-16,"Canned Whole Kernel Golden Sweet Corn, 15.25 oz",0.69,0.045,Aldi,oz,Green Chiles,Sauces/Canned Goods
2024-08-16,"Carrots, 2 lb",1.55,0.775,Aldi,lb,Carrots,Fresh Produce
2024-08-16,"Chicken Broth, 32 oz",1.49,0.047,Aldi,oz,Chicken Stock,Sauces/Canned Goods
2024-08-16,"Chili Powder, 2.5 oz",1.25,0.5,Aldi,oz,Chili Powder,Condiments/Spices
2024-08-16,"Chopped Green Chiles, 4 oz Can",0.89,0.223,Aldi,oz,Green Chiles,Sauces/Canned Goods
2024-08-16,"Chunk Light Tuna in Water, 5 oz Can",1.25,0.25,Aldi,oz,Tuna,Sauces/Canned Goods
2024-08-16,Cilantro,1.99,1.99,Wegmans,oz,Cilantro,Fresh Produce
2024-08-16,Cilantro Bunch,0.75,0.75,Aldi,each,Cilantro,Fresh Produce
2024-08-16,"Cinnamon Crunch Squares, 19.3 oz",3.09,0.16,Aldi,oz,Cereal,Snacks
2024-08-16,"Classic Roast Medium Ground Coffee, 30.5 oz",8.49,0.278,Aldi,oz,Coffee,Beverages
