date,item_name,price,price_per_unit,sale_price,store
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Crispy Rice Treats, 40 Count",9.48,30.4 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Large White Eggs, 18 Count",3.88,21.6 ¢/count,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Fully Cooked Chicken Nuggets, 32 oz (Frozen)",5.97,18.7 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Hickory Smoked Bacon, 12 oz",4.12,$5.49/lb,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Frosted Strawberry Toaster Pastries, 20.3 oz, 12 Count",1.97,9.7 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,Great Value Taters Seasoned and Shredded Potatoes,3.42,$3.42,2.97,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value White Round Top Bread Loaf, 20 oz",1.42,7.1 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Whole Vitamin D Milk, Gallon, Plastic, Jug, 128 Fl Oz",3.38,2.6 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count",5.36,0.8 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,Great Value Spaghetti 16oz,0.98,6.1 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Premium Original Shells & Cheese, 12 oz Shelf Stable",1.48,12.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Medium Soft Taco Flour Tortillas, 16 oz, 10 Count",1.98,12.4 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,Great Value Patties Shredded Seasoned Poatato Hash Brown,2.97,13.2 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Tomato Ketchup, 32 oz",1.94,6.1 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Alfredo Pasta Sauce, 16 Oz",1.82,11.4 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Cinnamon French Toast Sticks, 16 oz (Frozen)",3.16,19.8 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value 100% Apple Juice, 96 fl oz",2.84,3.0 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Garlic Texas Toast, 11.25 oz, 8 Count",2.24,19.9 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value White Sandwich Bread, 20 oz",1.42,7.1 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Seasoned French Fried Potatoes, 32 oz Bag (Frozen)",2.97,9.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Butter Flavor Flaky Jumbo Biscuits, 8 Count",1.87,11.7 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Golden Sweet Whole Kernel Corn, Canned Corn, 15 oz Can",0.64,4.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value All Natural Boneless Skinless Chicken Breasts, 3 lb (Frozen)",9.74,$9.74,8.76,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Finely Shredded Colby Jack Cheese, 8 oz",2.24,28.0 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Pre-Sliced Plain Bagels, 20 oz, 6 Count",1.98,9.9 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Singles American Pasteurized Prepared Cheese Product, 16 oz, 24 Count",2.48,15.5 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value, 2% Reduced Fat Milk, Gallon, Refrigerated",2.96,2.3 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Pure Granulated Sugar, 4 lb",3.14,4.9 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Vegetable Oil, 48 fl oz",3.97,8.3 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Hamburger Buns, 8 Count, 11 oz",1.46,13.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Glazed Honey Buns, 10.5 oz, 6 Count",1.98,18.9 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Grated Parmesan Cheese, 8 oz Bottle",2.98,37.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Cut Green Beans, Canned Green Beans, 14.5 oz Can",0.64,4.4 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Saltine Crackers, 16 oz, 4 Count",1.74,10.9 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Chunk Light Tuna in Water, 5 oz, 4 Pack",3.22,16.1 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Sweet Cream Salted Butter, 16 oz",4.26,26.6 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Original Syrup, 24 oz",2.36,9.8 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Thin Sliced Oven Roasted Turkey Breast Family Pack, 16 oz Plastic Tub, 9 Grams of Protein per 2 oz Serving",5.77,$5.77/lb,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Penne, 16 oz Box, (Shelf Stable)",0.98,6.1 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Original Sour Cream, 16 oz Tub",1.97,12.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Hot Dog Buns, White, 11 oz, 8 Count",1.46,13.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Crispy Rice Treats, 40 Count",9.48,30.4 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,GREAT VALUE SWEET PEAS 15OZ,0.64,4.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Onion Powder, 3.25 oz",1.12,34.5 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Mini Pretzel Twists, 16 oz",2.24,14.0 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Classic Ranch Dressing & Dip, 36 fl oz",3.54,9.8 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Cream Of Chicken Condensed Soup, 10.5 oz",0.68,6.5 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,Great Value Bowties 12 oz Box,0.98,8.2 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Mayonnaise, 30 fl oz",3.38,11.3 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Meat Lovers Breakfast Bowl, 7 oz (Frozen)",2.43,$2.43,2.00,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value All Natural Chicken Wing Sections, 4 lb (Frozen)",12.98,$3.25/lb,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Original Premium Sausage Roll, 16 oz, Plastic Wrapped, Refrigerated",2.94,$2.94/lb,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Finely Shredded Low-Moisture Part-Skim Mozzarella Cheese, 8 oz Bag",2.24,28.0 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Brussels Sprouts, 12 oz Bag (Frozen)",1.42,11.8 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Thin & Crispy Cantina Style Tortilla Chips, 13 oz",1.98,15.2 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Vanilla Wafer Cookies, 11 oz, Round, Shelf-Stable/Ambient, 1 Count",2.73,24.8 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Wide Egg Noodles Enriched Product, 16 oz",1.48,9.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Black Beans, 15 oz Can",0.86,5.7 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Baking Soda, 1 Lb",0.92,5.8 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value No Added Sweeteners 100% Apple Juice, 64 fl oz",1.98,3.1 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Milk Whole Vitamin D, Half Gallon, Plastic, Jug, 64oz",1.81,2.8 ¢/fl oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Original Vanilla Lowfat Yogurt, 32 oz",2.56,8.0 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Garlic Bread Sticks, 10.5 oz (Frozen)",2.24,21.3 ¢/ea,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Tomato Sauce, 8 oz Can",0.48,6.0 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Microwavable Thin Crust Cheese Pizza, 7.2 oz (Frozen)",1.17,16.3 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Traditional Pasta Sauce, 24 oz",1.67,7.0 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Deli Style Sliced Non-Smoked Provolone Cheese, 8 oz, 12 Count",2.24,28.0 ¢/oz,N/A,Walmart
2024-09-17,N/A,N/A,N/A,N/A,Walmart
2024-09-17,"Great Value Buttermilk Waffles, 24 Count",4.14,14.0 ¢/oz,N/A,Walmart
