date,item_name,price,price_per_unit,sale_price,store
2024-08-21,"Del Monte Red Grapefruit in Extra Light Syrup, 52 oz. Plastic Jar",8.97,17.3 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Small Hass Avocado Bag, 5-6 Count",4.38,87.6 ¢/ea,N/A,Walmart
2024-08-21,"Fresh Yellow Squash, Each",0.89,$1.48/lb,N/A,Walmart
2024-08-21,"Marketside Fresh Shredded Iceberg Lettuce, 8 oz Bag, Fresh",1.98,24.8 ¢/oz,N/A,Walmart
2024-08-21,"Sweet Potatoes Whole Fresh, Each (Batata Mameya)",1.02,$1.00/lb,N/A,Walmart
2024-08-21,"Fresh Whole Yellow Onion, Each",1.18,$1.48/lb,N/A,Walmart
2024-08-21,"Marketside Fresh Green Beans, 12 oz",2.47,20.6 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Classic Iceberg Salad, 12 oz Bag, Fresh",1.98,16.5 ¢/oz,N/A,Walmart
2024-08-21,"Garlic Bulb Fresh Whole, Each",0.68,$4.56/lb,N/A,Walmart
2024-08-21,"Fresh Jalapeno Pepper, Approx. 3-5 per 0.25 Pound",0.39,$1.54/lb,N/A,Walmart
2024-08-21,"Fresh Tomato on the Vine, Bag (1.9 lbs/Bag Est.)",3.76,$1.98/lb,N/A,Walmart
2024-08-21,"Spice World Fresh Garlic Sleeve, 3 Count",1.74,58.0 ¢/ea,N/A,Walmart
2024-08-21,"Fresh Organic Mini Sweet Peppers, 8 Ounce Bag",3.46,43.3 ¢/oz,N/A,Walmart
2024-08-21,"Russet Baking Potatoes Whole Fresh, Each",0.92,$1.08/lb,N/A,Walmart
2024-08-21,"Fresh Red Grapefruit, Each",1.38,N/A,N/A,Walmart
2024-08-21,"Fresh Blackberries, 6 oz Container",2.77,46.2 ¢/oz,N/A,Walmart
2024-08-21,"Freshness Guaranteed Mild Pico De Gallo, 10 oz",3.18,31.8 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Fresh Sugar Snap Peas, 8 oz",2.47,30.9 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Mangoes, Each, Sweet",1.08,N/A,N/A,Walmart
2024-08-21,"Fresh Whole Carrots, 1 lb Bag",1.08,6.8 ¢/oz,N/A,Walmart
2024-08-21,"Freshness Guaranteed Fresh White Meat Chicken Salad with Cranberries, Celery, and Pecans, 12 oz",5.94,49.5 ¢/oz,N/A,Walmart
2024-08-21,"Taylor Farms Green Goddess Ranch Mini Salad Kit, 4.55 oz Bag, Fresh",1.98,43.5 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Organic Spring Mix Salad, 5 oz Clam Shell, Fresh",2.98,59.6 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Cauliflower, Each",2.86,N/A,N/A,Walmart
2024-08-21,"Fresh Yellow Baby Potatoes, 1.5 lb Bag",3.54,14.8 ¢/oz,N/A,Walmart
2024-08-21,"Broccoli Florets, 12 oz",2.47,20.6 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Tri-Color Cole Slaw, 16 oz Bag, Fresh",2.24,$2.24,1.97,Walmart
2024-08-21,"Fresh Brussels Sprouts, 1 lb Bag",2.98,18.6 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Whole Sweet Onion, Each",1.15,$1.34/lb,N/A,Walmart
2024-08-21,"Fresh Whole White Mushrooms, 8 oz",1.87,23.4 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Organic Honeycrisp Apples, 2 lb Pouch",5.72,$2.86/lb,N/A,Walmart
2024-08-21,"Fresh Honeycrisp Apple, Each",1.30,N/A,1.17,Walmart
2024-08-21,"Fresh Lemons, 2 lb Bag",3.92,$1.96/lb,N/A,Walmart
2024-08-21,"Fresh Yellow Mangoes, Each",0.64,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,N/A,N/A,N/A,N/A,Walmart
2024-08-21,"Fresh Envy Apples, 3 lb Bag",6.44,$2.15/lb,N/A,Walmart
2024-08-21,"Pitaya Foods Frozen Ripe Baked Plantain Slices for Snacks, 12oz, 1 Pouch",4.98,41.5 ¢/oz,N/A,Walmart
2024-08-21,"Cleveland Kitchen Gluten-Free Classic Kimchi, 16 oz Pouch",4.94,30.9 ¢/oz,N/A,Walmart
2024-08-21,"Del Monte Red Grapefruit in 100% Juice, 20.0 oz Bowl, Fresh Refrigerated Fruit Bowl",4.28,21.4 ¢/fl oz,N/A,Walmart
2024-08-21,"Fresh Lemons, 2 lb Bag",3.92,$1.96/lb,N/A,Walmart
2024-08-21,SWEET MINI PEPPERS,2.98,18.6 ¢/oz,N/A,Walmart
2024-08-21,"Organic Marketside Fresh Baby Peeled Carrots, 1 lb Bag",1.66,10.4 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Personal Watermelon, Each",3.87,N/A,N/A,Walmart
2024-08-21,"Fresh Red Bell Pepper, 1 Each",1.48,N/A,N/A,Walmart
2024-08-21,"Fresh Yellow Nectarine, Each",1.19,$2.97/lb,N/A,Walmart
2024-08-21,"Del Monte Red Grapefruit in Extra Light Syrup, 52 oz. Plastic Jar",8.97,17.3 ¢/oz,N/A,Walmart
2024-08-21,"Taylor Farms Turkey & Cheddar Snack Pack, 6 oz",2.97,$2.97,2.47,Walmart
2024-08-21,"Fresh Green Kale Bunch, Each",1.48,N/A,N/A,Walmart
2024-08-21,"Freshness Guaranteed Diced Fresh Yellow Onions, 8 oz",2.88,36.0 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Navel Orange, Each",0.98,$0.98,0.88,Walmart
2024-08-21,"Fresh Raspberries, 12 oz Container",6.74,56.2 ¢/oz,N/A,Walmart
2024-08-21,"Concord Foods Reconstituted Lemon Juice, 4.5 oz, Shelf-Stable",0.98,21.8 ¢/fl oz,N/A,Walmart
2024-08-21,"Marketside Caesar Salad Kit Family Size, 17.8 oz Bag, Fresh",4.98,$4.98,4.48,Walmart
2024-08-21,"Fresh Navel Oranges, 4 lb Bag",5.97,$1.49/lb,N/A,Walmart
2024-08-21,"Marketside Organic Fresh Romaine Lettuce Hearts, 3 Pack",3.76,31.3 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Yellow Peaches, 2 lb Bag",3.88,12.1 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Gala Apples, 3 lb Bag",4.42,$1.47/lb,N/A,Walmart
2024-08-21,"Marketside Angel Hair Cole Slaw, 10 oz Bag, Fresh",2.24,$2.24,1.97,Walmart
2024-08-21,"Fresh Red Radish, Bunch",1.86,N/A,N/A,Walmart
2024-08-21,"Fresh Whole Brown Mushrooms, 8 oz",2.28,28.5 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Fresh Baby Spinach, 6 oz Bag, Fresh",2.73,$2.73,2.18,Walmart
2024-08-21,"Fresh Minced Garlic, 8 oz Jar",3.14,39.3 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Whole White Onions, Each",1.62,$1.84/lb,N/A,Walmart
2024-08-21,"Sweet Potatoes Whole Fresh, 3 lb Bag",2.98,99.3 ¢/lb,N/A,Walmart
2024-08-21,"Fresh Sweet Onions, 3 lb Bag",3.98,$1.33/lb,N/A,Walmart
2024-08-21,"Marketside Caesar Chopped Salad Kit, 8.8 oz Bag, Fresh",3.98,$3.98,3.48,Walmart
2024-08-21,"Marketside Premium Romaine Salad Blend, 9 oz Bag, Fresh",3.24,36.0 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Asian Chopped Salad Kit, 10.6 oz Bag, Fresh",3.98,$3.98,3.48,Walmart
2024-08-21,"Fresh Cherubs Grape Tomatoes, 16.5 oz Package",4.48,28.0 ¢/oz,N/A,Walmart
2024-08-21,"Fresh Carrot Chips, 1 lb Bag",1.87,11.7 ¢/oz,N/A,Walmart
2024-08-21,"Marketside Sunflower Bacon Crunch Chopped Salad Kit, 10.6 oz Bag, Fresh",3.98,$3.98,3.48,Walmart
2024-08-21,"Fresh Bartlett Pears, Each",1.39,$1.98/lb,N/A,Walmart
