date,item_name,price,price_per_unit,sale_price,store
2025-01-17,"Great Value Crispy Rice Treats, 40 Count",9.48,30.4 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Large White Eggs, 18 Count",6.16,34.2 ¢/count,N/A,Walmart
2025-01-17,Great Value Taters Seasoned and Shredded Potatoes,2.97,9.3 ¢/oz,N/A,Walmart
2025-01-17,"Great Value White Round Top Bread Loaf, 20 oz",1.42,7.1 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Whole Vitamin D Milk, Gallon, Plastic, Jug, 128 Fl Oz",3.29,2.6 ¢/fl oz,N/A,Walmart
2025-01-17,"Great Value Purified Drinking Water, 16.9 Fl. Oz., 40 Count",5.36,0.8 ¢/fl oz,N/A,Walmart
2025-01-17,Great Value Spaghetti 16oz,0.98,6.1 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Frosted Strawberry Toaster Pastries, 20.3 oz, 12 Count",1.92,9.5 ¢/oz,N/A,Walmart
2025-01-17,"Great Value White Sandwich Bread, 20 oz",1.42,7.1 ¢/oz,N/A,Walmart
2025-01-17,Great Value Patties Shredded Seasoned Poatato Hash Brown,3.42,15.2 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Cinnamon French Toast Sticks, 16 oz (Frozen)",3.16,19.8 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Creme Filled Swiss Rolls Snack Cakes, 13 oz, 6 Count",1.98,15.2 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Tomato Ketchup, 32 oz",1.94,6.1 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Seasoned French Fried Potatoes, 32 oz Bag (Frozen)",2.97,9.3 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Golden Sweet Whole Kernel Corn, Canned Corn, 15 oz Can",0.64,4.3 ¢/oz,N/A,Walmart
2025-01-17,"Great Value Medium Soft Taco Flour Tortillas, 16 oz, 10 Count",1.98,12.4 ¢/oz,N/A,Walmart
