date,item_name,price,price_per_unit,sale_price,store
2025-12-08,"Great Value Organic Balsamic Vinegar of Modena, 8.45 fl oz",4.68,55.4 ¢/fl oz,N/A,Walmart
2025-12-08,"Great Value Caramel Pecan Ground Coffee, 12 oz",N/A,58.2 ¢/oz,6.98,Walmart
2025-12-08,"Great Value 100% Arabica Colombian Medium-Dark Roast Ground Coffee, 12 oz, Bag",N/A,58.2 ¢/oz,6.98,Walmart
2025-12-08,"Great Value French Vanilla Medium Roast Ground Coffee, 12 oz, Bag",N/A,58.2 ¢/oz,6.98,Walmart
2025-12-08,"Great Value Breakfast Blend, 100% Arabica, Medium Roast, Ground Coffee, 12 oz",N/A,58.2 ¢/oz,6.98,Walmart
2025-12-08,"Great Value Taters Seasoned and Shredded Potatoes, 32 oz, 2 lbs (Frozen)",2.97,9.3 ¢/oz,N/A,Walmart
2025-12-08,"Great Value Large White Eggs, 18 Count",2.92,16.2 ¢/count,N/A,Walmart
2025-12-08,"Great Value White Sandwich Bread, 20 oz",1.42,7.1 ¢/oz,N/A,Walmart
2025-12-08,"Great Value Naturally Hickory Smoked Sliced Bacon, 12 oz",4.24,35.3 ¢/oz,N/A,Walmart
2025-12-08,"Great Value Purified Drinking Water, 16.9 Fl. Oz., 40 Count",5.47,0.8 ¢/fl oz,N/A,Walmart
2025-12-08,"Great Value Seasoned Potato Hash Brown Patties, Shredded, 22.5 oz, 10 Count (Frozen)",3.42,15.2 ¢/oz,N/A,Walmart
2025-12-08,"Great Value Butter Flavor Flaky Jumbo Biscuits, 8 Count, Shellfish Free",1.84,11.5 ¢/oz,N/A,Walmart
2025-12-08,"Great Value Whole Vitamin D Milk, Gallon, Plastic, Jug, 128 fl oz",3.29,2.6 ¢/fl oz,N/A,Walmart
2025-12-08,"Great Value Pure Granulated Sugar, 4 lb",N/A,N/A,"3.07, Was $3.46",Walmart
2025-12-08,"Great Value Sweet Cream Salted Butter, 16 oz Box, 4 Sticks",3.67,22.9 ¢/oz,N/A,Walmart
