date,item_name,price,price_per_unit,sale_price,store
2026-02-23,N/A,2.97,N/A,N/A,Walmart
2026-02-23,N/A,1.97,N/A,N/A,Walmart
2026-02-23,N/A,1.48,N/A,N/A,Walmart
2026-02-23,N/A,2.47,N/A,N/A,Walmart
2026-02-23,N/A,1.32,N/A,N/A,Walmart
2026-02-23,N/A,N/A,N/A,"3.77, Was $4.24",Walmart
2026-02-23,N/A,11.37,N/A,N/A,Walmart
2026-02-23,N/A,3.42,N/A,N/A,Walmart
2026-02-23,N/A,5.47,N/A,N/A,Walmart
2026-02-23,N/A,4.42,N/A,N/A,Walmart
2026-02-23,N/A,"Now $1.97, Was $2.24",N/A,N/A,Walmart
2026-02-23,N/A,3.44,N/A,N/A,Walmart
2026-02-23,N/A,2.97,N/A,N/A,Walmart
2026-02-23,N/A,11.46,N/A,N/A,Walmart
2026-02-23,N/A,1.48,N/A,N/A,Walmart
2026-02-23,N/A,3.01,N/A,N/A,Walmart
2026-02-23,N/A,1.97,N/A,N/A,Walmart
2026-02-23,N/A,1.97,N/A,N/A,Walmart
2026-02-23,N/A,2.97,N/A,N/A,Walmart
2026-02-23,N/A,1.84,N/A,N/A,Walmart
2026-02-23,N/A,"Now $1.97, Was $2.44",N/A,N/A,Walmart
2026-02-23,N/A,1.74,N/A,N/A,Walmart
2026-02-23,N/A,2.97,N/A,N/A,Walmart
2026-02-23,N/A,1.98,N/A,N/A,Walmart
2026-02-23,N/A,2.97,N/A,N/A,Walmart
2026-02-23,N/A,2.47,N/A,N/A,Walmart
2026-02-23,N/A,0.70,N/A,N/A,Walmart
2026-02-23,N/A,4.96,N/A,N/A,Walmart
2026-02-23,N/A,1.69,N/A,N/A,Walmart
2026-02-23,N/A,1.08,N/A,N/A,Walmart
2026-02-23,N/A,1.08,N/A,N/A,Walmart
2026-02-23,N/A,1.67,N/A,N/A,Walmart
2026-02-23,N/A,0.98,N/A,N/A,Walmart
2026-02-23,N/A,0.98,N/A,N/A,Walmart
2026-02-23,N/A,3.82,N/A,N/A,Walmart
2026-02-23,N/A,1.48,N/A,N/A,Walmart
2026-02-23,N/A,1.48,N/A,N/A,Walmart
2026-02-23,N/A,1.97,N/A,N/A,Walmart
2026-02-23,N/A,0.76,N/A,N/A,Walmart
2026-02-23,N/A,0.96,N/A,N/A,Walmart
2026-02-23,N/A,N/A,N/A,N/A,Walmart
2026-02-23,N/A,N/A,N/A,N/A,Walmart
