date,item_name,price,price_per_unit,sale_price,store
2024-10-21,"Strawberries,   1 lb",2.85,1 lb,N/A,Aldi
2024-10-21,"Blueberries,   1 pint",4.75,1 pt,N/A,Aldi
2024-10-21,"Organic Blueberries, 6 oz",3.85,6 oz,N/A,Aldi
2024-10-21,"Multi-Colored Peppers,  3 count",2.99,3 ct,N/A,Aldi
2024-10-21,"Honeycrisp Apples,  2 lb",3.29,2 lb,N/A,Aldi
2024-10-21,"Red Grapes, per lb",2.81,avg. 2.25 lb/piece,N/A,Aldi
2024-10-21,"Flat Leaf Spinach, 8 oz",1.65,8 oz,N/A,Aldi
2024-10-21,"Classic Coleslaw, 14 oz",1.89,14 oz,N/A,Aldi
2024-10-21,"Spinach & Artichoke Stuffed Mushrooms, 8.5 oz",4.39,8.5 oz,N/A,Aldi
2024-10-21,"Organic Chopped Kale, 12 oz",3.75,12 oz,N/A,Aldi
2024-10-21,"Pineapple  Spears, 16 oz",4.19,16 oz,N/A,Aldi
2024-10-21,"Southwest Chopped Salad Kit, 12 oz",3.65,12 oz,N/A,Aldi
2024-10-21,Sunflower Chopped Salad Kit,3.65,11.1 oz,N/A,Aldi
2024-10-21,"Italian Salad, 9 oz",2.85,9 oz,N/A,Aldi
2024-10-21,"Spring Mix, 5 oz",2.15,5 oz,N/A,Aldi
2024-10-21,"Garden Salad, 12 oz",2.09,12 oz,N/A,Aldi
2024-10-21,"Sweet Kale Chopped Salad Kit, 12 oz",3.65,12.2 oz,N/A,Aldi
2024-10-21,"Caesar Salad  Kit, 10 oz",3.29,10 oz,N/A,Aldi
2024-10-21,"Asian Chopped Salad Kit, 12 oz",3.65,1 each,N/A,Aldi
2024-10-21,"Organic Arugula and Spinach Mix, 5 oz",3.19,5 oz,N/A,Aldi
2024-10-21,"Shredded Lettuce, 8 oz",2.09,8 oz,N/A,Aldi
2024-10-21,"Mango Slices, 16 oz",5.19,16 oz,N/A,Aldi
2024-10-21,"Watermelon  Spears, 16 oz",4.19,16 oz,N/A,Aldi
2024-10-21,"Sweet Butter Salad, 8 oz",2.85,6 oz,N/A,Aldi
2024-10-21,"Organic  Mixed Greens, 5 oz",3.19,5 oz,N/A,Aldi
2024-10-21,"Organic Spring Mix, 16 oz",5.39,16 oz,N/A,Aldi
2024-10-21,"Organic Baby Spinach, 5 oz",3.19,5 oz,N/A,Aldi
2024-10-21,"Sweet Onions, 2 lb",2.55,2 lb,N/A,Aldi
2024-10-21,"Carrots, 2 lb",1.55,2 lb,N/A,Aldi
2024-10-21,"Romaine Lettuce Hearts, 3 count",3.49,3 ct,N/A,Aldi
2024-10-21,"Strawberries,   1 lb",2.85,1 lb,N/A,Aldi
2024-10-21,"Blueberries,   1 pint",4.75,1 pt,N/A,Aldi
2024-10-21,"Organic Blueberries, 6 oz",3.85,6 oz,N/A,Aldi
2024-10-21,"Multi-Colored Peppers,  3 count",2.99,3 ct,N/A,Aldi
2024-10-21,"Honeycrisp Apples,  2 lb",3.29,2 lb,N/A,Aldi
2024-10-21,"Red Grapes, per lb",2.81,avg. 2.25 lb/piece,N/A,Aldi
2024-10-21,"Caramel Apples, 3 pk",3.85,3 ct,N/A,Aldi
2024-10-21,"Cucumber, each",0.79,1 each,N/A,Aldi
2024-10-21,Artisan Lettuce,3.55,1 each,N/A,Aldi
2024-10-21,"Parsley, 2 oz",0.95,2 oz,N/A,Aldi
2024-10-21,Organic Green Grapes,5.45,2 lb,N/A,Aldi
2024-10-21,"Baby  Peeled Carrots, 16 oz",0.89,16 oz,N/A,Aldi
2024-10-21,"Autumn Crisp Grapes, 2 lb Bag",6.59,2 lb,N/A,Aldi
2024-10-21,"Granny Smith Apples, 3 lb",3.65,3 lb,N/A,Aldi
2024-10-21,Green Leaf Lettuce,2.09,1 each,N/A,Aldi
2024-10-21,"Golden Kiwi, Package",4.29,1 lb,N/A,Aldi
2024-10-21,"Organic Angel Sweet Tomatoes, 1 pt",4.19,1 pt,N/A,Aldi
2024-10-21,"Pomegranate, each",1.89,1 each,N/A,Aldi
2024-10-21,"Lady Alice Apples, 3 lb",4.19,3 lb,N/A,Aldi
2024-10-21,"Red Delicious Apples, 3 lb",2.85,3 lb,N/A,Aldi
2024-10-21,"Strawberries,   1 lb",2.85,1 lb,N/A,Aldi
2024-10-21,"Green Peppers, 3 pack",2.55,3 ct,N/A,Aldi
2024-10-21,"Pink Lady Apples, 3 lb",4.29,3 lb,N/A,Aldi
2024-10-21,"Russet  Potatoes, 10 lb",3.99,10 lb,N/A,Aldi
2024-10-21,"Blueberries,   1 pint",4.75,1 pt,N/A,Aldi
2024-10-21,"Organic Red Grapes, 2 lb",5.45,2 lb,N/A,Aldi
2024-10-21,"Mandarin Oranges,  3 lb",4.39,3 lb,N/A,Aldi
2024-10-21,"Pineapple, each",2.19,N/A,N/A,Aldi
2024-10-21,"Grape Tomatoes,  10 oz",2.09,10 oz,N/A,Aldi
2024-10-21,"Blackberries, 6 oz",2.55,6 oz,N/A,Aldi
2024-10-21,"Strawberries,   1 lb",2.85,1 lb,N/A,Aldi
2024-10-21,"Blueberries,   1 pint",4.75,1 pt,N/A,Aldi
2024-10-21,"Organic Blueberries, 6 oz",3.85,6 oz,N/A,Aldi
2024-10-21,"Multi-Colored Peppers,  3 count",2.99,3 ct,N/A,Aldi
2024-10-21,"Honeycrisp Apples,  2 lb",3.29,2 lb,N/A,Aldi
2024-10-21,"Red Grapes, per lb",2.81,avg. 2.25 lb/piece,N/A,Aldi
